director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Brett Ratner,Philip Seymour Hoffman,Anthony Hopkins,English,Germany,Crime Drama Thriller,red dragon,Brett Ratner Philip Seymour Hoffman Anthony Hopkins Crime Drama Thriller red dragon
Joe Johnston,J.K. Simmons,Viggo Mortensen,English,USA,Action Adventure Western,hidalgo,Joe Johnston J.K. Simmons Viggo Mortensen Action Adventure Western hidalgo
Dennis Dugan,Al Pacino,Adam Sandler,English,USA,Comedy,jack and jill,Dennis Dugan Al Pacino Adam Sandler Comedy jack and jill
John Singleton,Paul Walker,Cole Hauser,English,USA,Action Crime Thriller,2 fast 2 furious,John Singleton Paul Walker Cole Hauser Action Crime Thriller 2 fast 2 furious
Mark Osborne,Jeff Bridges,James Franco,English,France,Adventure Animation Drama Family Fantasy,the little prince,Mark Osborne Jeff Bridges James Franco Adventure Animation Drama Family Fantasy the little prince
Oliver Hirschbiegel,Roger Rees,Veronica Cartwright,English,USA,Sci-Fi Thriller,the invasion,Oliver Hirschbiegel Roger Rees Veronica Cartwright Sci-Fi Thriller the invasion
Des McAnuff,Robert De Niro,Janeane Garofalo,English,USA,Adventure Animation Comedy Family Fantasy,the adventures of rocky & bullwinkle,Des McAnuff Robert De Niro Janeane Garofalo Adventure Animation Comedy Family Fantasy the adventures of rocky & bullwinkle
Yarrow Cheney,Steve Coogan,Eric Stonestreet,English,Japan,Animation Comedy Family,the secret life of pets,Yarrow Cheney Steve Coogan Eric Stonestreet Animation Comedy Family the secret life of pets
Stephen Norrington,Jason Flemyng,Max Ryan,English,USA,Action Adventure Fantasy Sci-Fi,the league of extraordinary gentlemen,Stephen Norrington Jason Flemyng Max Ryan Action Adventure Fantasy Sci-Fi the league of extraordinary gentlemen
Pierre Coffin,Steve Carell,Miranda Cosgrove,English,USA,Animation Comedy Family Sci-Fi,despicable me 2,Pierre Coffin Steve Carell Miranda Cosgrove Animation Comedy Family Sci-Fi despicable me 2
Roland Emmerich,Will Smith,Adam Baldwin,English,USA,Action Adventure Sci-Fi,independence day,Roland Emmerich Will Smith Adam Baldwin Action Adventure Sci-Fi independence day
Steven Spielberg,Ariana Richards,Richard Schiff,English,USA,Action Adventure Sci-Fi,the lost world: jurassic park,Steven Spielberg Ariana Richards Richard Schiff Action Adventure Sci-Fi the lost world: jurassic park
Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,English,USA,Adventure Animation Comedy Family,madagascar,Eric Darnell Jada Pinkett Smith Cedric the Entertainer Adventure Animation Comedy Family madagascar
