director_name,actor_1_name,actor_2_name,genres,movie_title,combined
 Tom Edmunds, Tom Wilkinson,Aneurin Barnard,Comedy Action Drama,dead in a week or your money back, Tom Edmunds  Tom Wilkinson Aneurin Barnard Comedy Action Drama dead in a week or your money back
 Mandie Fletcher, Beattie Edmondson,Ed Skrein,Family Comedy,patrick, Mandie Fletcher  Beattie Edmondson Ed Skrein Family Comedy patrick
 Jamie Adams, Cobie Smulders,Richard Elis,,alright now (a.k.a. songbird),
unknown,Christine Baranski,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,unknown Christine Baranski Pierce Brosnan Comedy Romance mamma mia! here we go again
 Richard Billingham, Michelle Bonnard,Deirdre Kelly,Drama,ray & liz, Richard Billingham  Michelle Bonnard Deirdre Kelly Drama ray & liz
 David Blair, Iwan Rheon,Milo Gibson,,hurricane (a.k.a. mission of honor),
 Iain Morris, Joe Thomas,Hammed Animashaun,Comedy Music,the festival, Iain Morris  Joe Thomas Hammed Animashaun Comedy Music the festival
 Stefan Ruzowitzky, Matt Smith,Natalie Dormer,Horror Thriller Action Drama,patient zero, Stefan Ruzowitzky  Matt Smith Natalie Dormer Horror Thriller Action Drama patient zero
 Hadi Hajaig, Sam Rockwell,Ben Schwartz,Thriller Romance Comedy Action,blue iguana, Hadi Hajaig  Sam Rockwell Ben Schwartz Thriller Romance Comedy Action blue iguana
 Paul Hyett, Michael Ironside,Rosie Day,,the convent (a.k.a. heretiks),
 Julien Landais, Jonathan Rhys-Meyers,Joely Richardson,Drama,the aspern papers, Julien Landais  Jonathan Rhys-Meyers Joely Richardson Drama the aspern papers
 Yorgos Lanthimos, Olivia Colman,Rachel Weisz,History Drama Comedy,the favourite, Yorgos Lanthimos  Olivia Colman Rachel Weisz History Drama Comedy the favourite
 Lenny Abrahamson, Domhnall Gleeson,Ruth Wilson,Mystery Drama Horror History,the little stranger, Lenny Abrahamson  Domhnall Gleeson Ruth Wilson Mystery Drama Horror History the little stranger
 Ralph Fiennes, Oleg Ivanko,Adèle Exarchopoulos,Drama,the white crow, Ralph Fiennes  Oleg Ivanko Adèle Exarchopoulos Drama the white crow
 Mike Leigh, David Bamber,Alastair Mackenzie,History Drama,peterloo, Mike Leigh  David Bamber Alastair Mackenzie History Drama peterloo
unknown, Errol Morris,unknown,Documentary,american dharma,unknown  Errol Morris unknown Documentary american dharma
