director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
 Mike Newell, Lily James,Michiel Huisman,English,UK,Romance Drama History,the guernsey literary and potato peel pie society, Mike Newell  Lily James Michiel Huisman Romance Drama History the guernsey literary and potato peel pie society
 Suzi Ewing, Kelly Reilly,Luke Evans,English,UK,Music,10x10, Suzi Ewing  Kelly Reilly Luke Evans Music 10x10
unknown, Zara Balfour,Marcus Stephenson,English,UK,Documentary,children of the snow land,unknown  Zara Balfour Marcus Stephenson Documentary children of the snow land
 Andy Tohill and Ryan Tohill, Moe Dunford,Francis Magee,English,UK,Drama History,the dig, Andy Tohill and Ryan Tohill  Moe Dunford Francis Magee Drama History the dig
unknown, Ian Bonhôte and Peter Ettedgui,unknown,English,UK,Documentary,mcqueen,unknown  Ian Bonhôte and Peter Ettedgui unknown Documentary mcqueen
" Layke Anderson, Natalia Casali, Nick Cohen, Mitchell Crawford, Andreas Heger-Bratterud, Ben Jacobson, Rosanna Lowe, Gaelle Mourre, Kaki Wong", Juliet Stevenson,Natalia Casali,English,UK,Drama,london unplugged," Layke Anderson, Natalia Casali, Nick Cohen, Mitchell Crawford, Andreas Heger-Bratterud, Ben Jacobson, Rosanna Lowe, Gaelle Mourre, Kaki Wong  Juliet Stevenson Natalia Casali Drama london unplugged"
 Roger Michell, Eileen Atkins,Judi Dench,English,UK,,nothing like a dame (a.k.a. tea with the dames),
 Andrew Niccol, Clive Owen,Amanda Seyfried,English,UK,Science Fiction,anon, Andrew Niccol  Clive Owen Amanda Seyfried Science Fiction anon
 James Oakley, Uma Thurman,Tim Roth,English,UK,Comedy,the con is on, James Oakley  Uma Thurman Tim Roth Comedy the con is on
 Paweł Pawlikowski, Tomasz Kot,Joanna Kulig,English,UK,Comedy Romance,cold war, Paweł Pawlikowski  Tomasz Kot Joanna Kulig Comedy Romance cold war
 Piotr Szkopiak, Alex Pettyfer,Robert Więckiewicz,English,UK,History Thriller,the last witness, Piotr Szkopiak  Alex Pettyfer Robert Więckiewicz History Thriller the last witness
 Vaughn Stein, Margot Robbie,Simon Pegg,English,UK,Comedy Drama,terminal, Vaughn Stein  Margot Robbie Simon Pegg Comedy Drama terminal
unknown, Kevin Macdonald,unknown,English,UK,Music Documentary,whitney,unknown  Kevin Macdonald unknown Music Documentary whitney
 Terry Gilliam, Adam Driver,Jonathan Pryce,English,UK,Adventure Comedy Drama Fantasy,the man who killed don quixote, Terry Gilliam  Adam Driver Jonathan Pryce Adventure Comedy Drama Fantasy the man who killed don quixote
 Anthony Byrne, Amrita Acharia,Jack Ashton,English,UK,Thriller,welcome to curiosity, Anthony Byrne  Amrita Acharia Jack Ashton Thriller welcome to curiosity
 Anthony Byrne, Natalie Dormer,Emily Ratajkowski,English,UK,Thriller Mystery,in darkness, Anthony Byrne  Natalie Dormer Emily Ratajkowski Thriller Mystery in darkness
 Oliver Parker, Rob Brydon,Jane Horrocks,English,UK,Comedy Drama,swimming with men, Oliver Parker  Rob Brydon Jane Horrocks Comedy Drama swimming with men
 Drew Pearce, Jodie Foster,Sterling K. Brown,English,UK,Thriller Science Fiction Action,hotel artemis, Drew Pearce  Jodie Foster Sterling K. Brown Thriller Science Fiction Action hotel artemis
 Mike Mort, Mike Mort,Jennifer Saunders,English,UK,Animation Action Comedy Horror,chuck steel: night of the trampires, Mike Mort  Mike Mort Jennifer Saunders Animation Action Comedy Horror chuck steel: night of the trampires
